id, name
1, Agriculture
2, Big Data & AI
3, Biotech and Medicine
4, Blockchain & Cryptocurrencies
5, Cyber Security
6, Design & Graphics
7, eCommerce
8, Education
9, Energy & Sustainability
10, Fashion
11, Financial Services
12, Food & Drinks
13, Gaming
14, Hardware
15, Health & Fitness
16, Human Resources
17, Insurance
18, IoT (The Internet of Things)
19, Legal Services
20, Marketing & Advertising
21, Media & Communication
22, Mobility & Logistics
23, Music
24, Real Estate
25, Sharing & Gig Economy (Rent Services to the Companies)
26, Social Media & Events
27, Travel
28, Video & Photography
29, Virtual & Augmented Reality